rx,tx,len,type,rateMbps,rssi
0a3204a11077,73dfb6185cb5,108,8,12,-59
02a9718f10aa,0a3204a11077,1544,8,2,55
0a3204a11077,96e6224fd415,108,8,12,-51
73dfb6185cb5,0a3204a11077,90,8,1,54
0a3204a11077,96e6224fd415,108,8,2,-49
0a3204a11077,96e6224fd415,108,8,1,-52
0a3204a11077,b7cc04c1700c,108,8,54,-42
0a3204a11077,b7cc04c1700c,108,8,54,-42
b7cc04c1700c,0a3204a11077,1544,8,24,57
0a3204a11077,7b376686c0e6,128,8,9,-54
0a3204a11077,7b376686c0e6,128,8,6,-43
7b376686c0e6,0a3204a11077,1544,8,11,55
0a3204a11077,0c456dd3601d,108,8,9,-56
0a3204a11077,7b376686c0e6,128,8,5,-53
0a3204a11077,73dfb6185cb5,108,8,12,-58
0a3204a11077,73dfb6185cb5,108,8,2,-59
0c456dd3601d,0a3204a11077,1544,8,5,55
d10a78ddd830,0a3204a11077,363,8,11,55
0a3204a11077,a369c90464f1,28,8,1,-51
0a3204a11077,49dc042170bc,108,8,48,-50
0a3204a11077,d10a78ddd830,149,8,6,-53
0a3204a11077,d10a78ddd830,762,8,6,-50
49dc042170bc,0a3204a11077,1544,8,11,54
0a3204a11077,d10a78ddd830,756,8,18,-51
d090b7277cb3,0a3204a11077,1544,8,24,56
0a3204a11077,d090b7277cb3,108,8,2,-58
0a3204a11077,93ea1453ecf8,120,8,9,-57
ffffffffffff,e65a2b5aa0d4,98,8,1,-76
e65a2b5aa0d4,d91371a56068,28,8,0,-72
93ea1453ecf8,0a3204a11077,1544,8,11,56
e65a2b5aa0d4,d91371a56068,28,8,0,-72
d91371a56068,e65a2b5aa0d4,65,8,1,-76
0a3204a11077,96e6224fd415,108,8,9,-50
ffffffffffff,fc79ea546019,91,0,1,-73
b00f0e000105,fc79ea546019,82,8,1,-73
b00f0e000105,fc79ea546019,82,8,1,-74
96e6224fd415,0a3204a11077,1544,8,2,53
23210a2220af,0a3204a11077,1544,8,11,52
0a3204a11077,23210a2220af,108,8,12,-55
deb109bed87b,0a3204a11077,1544,8,11,51
73dfb6185cb5,0a3204a11077,123,8,12,56
a77008a22036,0a3204a11077,1544,8,12,55
860378b2f4e6,0a3204a11077,1544,8,11,58
36c209aed8db,0a3204a11077,1544,8,12,57
0a3204a11077,a77008a22036,108,8,2,-52
0a3204a11077,860378b2f4e6,96,8,9,-43
02a9718f10aa,0a3204a11077,1544,8,5,54
0a3204a11077,02a9718f10aa,108,8,2,-44
b7cc04c1700c,0a3204a11077,1544,8,36,55
7b376686c0e6,0a3204a11077,1544,8,11,54
0a3204a11077,b7cc04c1700c,108,8,54,-43
0c456dd3601d,0a3204a11077,1544,8,18,50
0a3204a11077,7b376686c0e6,128,8,9,-57
d10a78ddd830,0a3204a11077,1544,8,11,54
0a3204a11077,f162c90464a1,116,8,5,-51
49dc042170bc,0a3204a11077,1544,8,11,53
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,f162c90464a1,116,8,5,-50
0a3204a11077,7b376686c0e6,128,8,6,-44
0a3204a11077,f162c90464a1,116,8,5,-51
d090b7277cb3,0a3204a11077,1544,8,24,56
0a3204a11077,f162c90464a1,116,8,1,-51
0a3204a11077,f162c90464a1,116,8,1,-51
0a3204a11077,7b376686c0e6,128,8,2,-43
0a3204a11077,49dc042170bc,108,8,48,-48
0a3204a11077,93ea1453ecf8,120,8,9,-59
0a3204a11077,8bc8280160dd,20,4,11,-55
b00f0e000105,0a3204a11077,86,8,11,-128
ffffffffffff,0a3204a11077,86,8,11,-128
b00f0e000105,0a3204a11077,107,8,11,-128
b00f0e000105,0a3204a11077,168,8,11,-128
b00f0e000105,0a3204a11077,168,8,11,-128
93ea1453ecf8,0a3204a11077,1544,8,11,53
0a3204a11077,7b376686c0e6,128,8,1,-43
96e6224fd415,0a3204a11077,1544,8,11,52
23210a2220af,0a3204a11077,1544,8,11,55
0a3204a11077,96e6224fd415,108,8,9,-50
0a3204a11077,deb109bed87b,108,8,48,-47
0a3204a11077,96e6224fd415,108,8,9,-50
deb109bed87b,0a3204a11077,1544,8,5,49
